ibgeID,id,lat,lon,longName
2609501,Nazaré da Mata/PE,-7.7452689,-35.2286396,"Nazaré da Mata, Região Geográfica Imediata de Carpina, Região Geográfica Intermediária do Recife, Pernambuco, Região Nordeste, 55800-000, Brasil"
2609600,Olinda/PE,-7.9986401,-34.8459552,"Olinda, Região Geográgica Imediata do Recife, Região Metropolitana do Recife, Região Geográfica Intermediária do Recife, Pernambuco, Região Nordeste, Brasil"
2609709,Orobó/PE,-7.74562,-35.6019195,"Orobó, Região Geográfica Imediata de Limoeiro, Região Geográfica Intermediária do Recife, Pernambuco, Região Nordeste, 55745-000, Brasil"
2609808,Orocó/PE,-8.6147294,-39.6036682,"Orocó, Região Geográfica Imediata de Petrolina, Região Administrativa Integrada de Desenvolvimento do Polo Petrolina e Juazeiro, Região Geográfica Intermediária de Petrolina, Pernambuco, Região Nordeste, Brasil"
2609907,Ouricuri/PE,-7.884432,-40.0833221,"Ouricuri, Região Geográfica Imediata de Araripina, Região Geográfica Intermediária de Petrolina, Pernambuco, Região Nordeste, 56200-000, Brasil"
2610004,Palmares/PE,-8.684226,-35.589032,"Palmares, Microrregião da Mata Meridional Pernambucana, Região Geográfica Intermediária do Recife, Pernambuco, Região Nordeste, Brasil"
2610103,Palmeirina/PE,-9.0030969,-36.3254036,"Palmeirina, Região Geográfica Imediata de Garanhuns, Região Geográfica Intermediária de Caruaru, Pernambuco, Região Nordeste, Brasil"
2610202,Panelas/PE,-8.661211,-36.012539,"Panelas, Região Geográfica Imediata de Caruaru, Região Geográfica Intermediária de Caruaru, Pernambuco, Região Nordeste, 55470-000, Brasil"
2610301,Paranatama/PE,-8.9198099,-36.6573512,"Paranatama, Região Geográfica Imediata de Garanhuns, Região Geográfica Intermediária de Caruaru, Pernambuco, Região Nordeste, 55355-000, Brasil"
2610400,Parnamirim/PE,-8.0911745,-39.5791567,"Parnamirim, Região Geográfica Imediata de Salgueiro, Região Geográfica Intermediária de Petrolina, Pernambuco, Região Nordeste, Brasil"
2610509,Passira/PE,-7.976317,-35.5817327,"Passira, Região Geográfica Imediata de Limoeiro, Região Geográfica Intermediária do Recife, Pernambuco, Região Nordeste, 55650-000, Brasil"
2610608,Paudalho/PE,-7.90287,-35.171639,"Paudalho, Região Geográgica Imediata do Recife, Região Geográfica Intermediária do Recife, Pernambuco, Região Nordeste, Brasil"
2610707,Paulista/PE,-7.9340069,-34.868407,"Paulista, Região Geográgica Imediata do Recife, Região Metropolitana do Recife, Região Geográfica Intermediária do Recife, Pernambuco, Região Nordeste, 53435-085, Brasil"
2610806,Pedra/PE,-8.4995589,-36.944377,"Pedra, Região Geográfica Imediata de Arcoverde, Região Geográfica Intermediária de Caruaru, Pernambuco, Região Nordeste, 55280-000, Brasil"
2610905,Pesqueira/PE,-8.3579952,-36.6971741,"Pesqueira, Região Geográfica Imediata de Belo Jardim-Pesqueira, Região Geográfica Intermediária de Caruaru, Pernambuco, Região Nordeste, 55200-000, Brasil"
2611002,Petrolândia/PE,-8.9701861,-38.2213655,"Petrolândia, Região Geográfica Imediata de Serra Talhada, Região Geográfica Intermediária de Serra Talhada, Pernambuco, Região Nordeste, 56460-000, Brasil"
2611101,Petrolina/PE,-9.3817334,-40.4968875,"Petrolina, Região Geográfica Imediata de Petrolina, Região Administrativa Integrada de Desenvolvimento do Polo Petrolina e Juazeiro, Região Geográfica Intermediária de Petrolina, Pernambuco, Região Nordeste, Brasil"
2611200,Poção/PE,-8.186709,-36.7023901,"Poção, Região Geográfica Imediata de Belo Jardim-Pesqueira, Região Geográfica Intermediária de Caruaru, Pernambuco, Região Nordeste, 55240-000, Brasil"
2611309,Pombos/PE,-8.1398585,-35.396437,"Pombos, Região Geográfica Imediata de Vitória de Santo Antão, Região Geográfica Intermediária do Recife, Pernambuco, Região Nordeste, 55630-000, Brasil"
2611408,Primavera/PE,-8.3308449,-35.3523034,"Primavera, Região Geográfica Imediata de Escada-Ribeirão, Região Geográfica Intermediária do Recife, Pernambuco, Região Nordeste, 55510-000, Brasil"
2611507,Quipapá/PE,-8.8269434,-36.011622,"Quipapá, Microrregião da Mata Meridional Pernambucana, Região Geográfica Intermediária de Caruaru, Pernambuco, Região Nordeste, 55415-000, Brasil"
2611533,Quixaba/PE,-7.7185273,-37.8484398,"Quixaba, Microrregião de Pajeú, Região Geográfica Intermediária de Serra Talhada, Pernambuco, Região Nordeste, Brasil"
2611606,Recife/PE,-8.0641931,-34.8781517,"Recife, Região Geográgica Imediata do Recife, Região Metropolitana do Recife, Região Geográfica Intermediária do Recife, Pernambuco, Região Nordeste, Brasil"
2611705,Riacho das Almas/PE,-8.1356327,-35.8566421,"Riacho das Almas, Região Geográfica Imediata de Caruaru, Região Geográfica Intermediária de Caruaru, Pernambuco, Região Nordeste, 55120-000, Brasil"
