ibge,city,state,region,pop2019,pop2020,pop2021,isCountryside,cod_RegiaoDeSaude,name_RegiaoDeSaude,ibge_id
2611002,Petrolândia/PE,PE,Nordeste,36548,36901,37246,1,26002,Arcoverde,2611002
2611101,Petrolina/PE,PE,Nordeste,349145,354317,359372,1,26009,Petrolina,2611101
2611200,Poção/PE,PE,Nordeste,11302,11305,11308,1,26003,Caruaru,2611200
2611309,Pombos/PE,PE,Nordeste,27091,27148,27204,1,26010,Recife,2611309
2611408,Primavera/PE,PE,Nordeste,14966,15101,15231,1,26008,Palmares,2611408
2611507,Quipapá/PE,PE,Nordeste,26037,26175,26309,1,26008,Palmares,2611507
2611533,Quixaba/PE,PE,Nordeste,6813,6805,6796,1,26001,Afogados da Ingazeira,2611533
2611606,Recife/PE,PE,Nordeste,1645727,1653461,1661017,0,26010,Recife,2611606
2611705,Riacho das Almas/PE,PE,Nordeste,20546,20646,20744,1,26003,Caruaru,2611705
2611804,Ribeirão/PE,PE,Nordeste,47415,47616,47813,1,26008,Palmares,2611804
2611903,Rio Formoso/PE,PE,Nordeste,23535,23628,23719,1,26008,Palmares,2611903
2612000,Sairé/PE,PE,Nordeste,9932,9764,9600,1,26003,Caruaru,2612000
2612109,Salgadinho/PE,PE,Nordeste,10919,11068,11214,1,26006,Limoeiro,2612109
2612208,Salgueiro/PE,PE,Nordeste,60930,61249,61561,1,26011,Salgueiro,2612208
2612307,Saloá/PE,PE,Nordeste,15843,15862,15880,1,26004,Garanhuns,2612307
2612406,Sanharó/PE,PE,Nordeste,26462,26890,27308,1,26003,Caruaru,2612406
2612455,Santa Cruz/PE,PE,Nordeste,15398,15558,15713,1,26007,Ouricuri,2612455
2612471,Santa Cruz da Baixa Verde/PE,PE,Nordeste,12592,12650,12708,1,26012,Serra Talhada,2612471
2612505,Santa Cruz do Capibaribe/PE,PE,Nordeste,107937,109897,111812,1,26003,Caruaru,2612505
2612554,Santa Filomena/PE,PE,Nordeste,14477,14562,14645,1,26007,Ouricuri,2612554
2612604,Santa Maria da Boa Vista/PE,PE,Nordeste,41931,42100,42266,1,26009,Petrolina,2612604
2612703,Santa Maria do Cambucá/PE,PE,Nordeste,14137,14223,14308,1,26003,Caruaru,2612703
2612802,Santa Terezinha/PE,PE,Nordeste,11815,11865,11914,1,26001,Afogados da Ingazeira,2612802
2612901,São Benedito do Sul/PE,PE,Nordeste,15895,16069,16239,1,26008,Palmares,2612901
2613008,São Bento do Una/PE,PE,Nordeste,59504,60042,60567,1,26003,Caruaru,2613008
2613107,São Caitano/PE,PE,Nordeste,37245,37368,37488,1,26003,Caruaru,2613107
2613206,São João/PE,PE,Nordeste,22793,22899,23002,1,26004,Garanhuns,2613206
2613305,São Joaquim do Monte/PE,PE,Nordeste,21356,21398,21439,1,26003,Caruaru,2613305
2613404,São José da Coroa Grande/PE,PE,Nordeste,21298,21586,21868,1,26008,Palmares,2613404
2613503,São José do Belmonte/PE,PE,Nordeste,33959,34021,34082,1,26012,Serra Talhada,2613503
2613602,São José do Egito/PE,PE,Nordeste,33951,34056,34210,1,26001,Afogados da Ingazeira,2613602
2613701,São Lourenço da Mata/PE,PE,Nordeste,113230,114079,114910,0,26010,Recife,2613701
2613800,São Vicente Férrer/PE,PE,Nordeste,18018,18085,18150,1,26005,Goiana,2613800
2613909,Serra Talhada/PE,PE,Nordeste,86350,86915,87467,1,26012,Serra Talhada,2613909
2614006,Serrita/PE,PE,Nordeste,19165,19196,19226,1,26011,Salgueiro,2614006
2614105,Sertânia/PE,PE,Nordeste,35907,36050,36189,1,26002,Arcoverde,2614105
2614204,Sirinhaém/PE,PE,Nordeste,45865,46361,46845,1,26008,Palmares,2614204
2614303,Moreilândia/PE,PE,Nordeste,11270,11270,11269,1,26007,Ouricuri,2614303
2614402,Solidão/PE,PE,Nordeste,6007,6021,6034,1,26001,Afogados da Ingazeira,2614402
2614501,Surubim/PE,PE,Nordeste,65089,65647,66192,1,26006,Limoeiro,2614501
2614600,Tabira/PE,PE,Nordeste,28534,28704,28860,1,26001,Afogados da Ingazeira,2614600
2614709,Tacaimbó/PE,PE,Nordeste,12874,12859,12843,1,26003,Caruaru,2614709
2614808,Tacaratu/PE,PE,Nordeste,25765,26106,26439,1,26002,Arcoverde,2614808
2614857,Tamandaré/PE,PE,Nordeste,23388,23623,23852,1,26008,Palmares,2614857
2615003,Taquaritinga do Norte/PE,PE,Nordeste,28775,29127,29472,1,26003,Caruaru,2615003
2615102,Terezinha/PE,PE,Nordeste,7169,7198,7227,1,26004,Garanhuns,2615102
2615201,Terra Nova/PE,PE,Nordeste,10096,10206,10314,1,26011,Salgueiro,2615201
2615300,Timbaúba/PE,PE,Nordeste,53022,52802,52587,1,26005,Goiana,2615300
2615409,Toritama/PE,PE,Nordeste,45219,46164,47088,1,26003,Caruaru,2615409
2615508,Tracunhaém/PE,PE,Nordeste,13769,13813,13856,1,26006,Limoeiro,2615508
2615607,Trindade/PE,PE,Nordeste,30521,30816,31103,1,26007,Ouricuri,2615607
2615706,Triunfo/PE,PE,Nordeste,15254,15243,15232,1,26012,Serra Talhada,2615706
2615805,Tupanatinga/PE,PE,Nordeste,27304,27551,27793,1,26002,Arcoverde,2615805
2615904,Tuparetama/PE,PE,Nordeste,8202,8256,8266,1,26001,Afogados da Ingazeira,2615904
2616001,Venturosa/PE,PE,Nordeste,18482,18661,18835,1,26002,Arcoverde,2616001
2616100,Verdejante/PE,PE,Nordeste,9534,9553,9572,1,26011,Salgueiro,2616100
2616183,Vertente do Lério/PE,PE,Nordeste,7618,7571,7526,1,26006,Limoeiro,2616183
