type,name,lat,lon,total,total_per_100k_inhabitants
1,Alto Boa Vista/MT,-11.6723985,-51.3744431,1184,16694.86746
D1,Alto Boa Vista/MT,-11.6723985,-51.3744431,19,267.90750
1,Alto Caparaó/MG,-20.4405661,-41.8683799,439,7393.06164
D1,Alto Caparaó/MG,-20.4405661,-41.8683799,9,151.56618
1,Alto Feliz/RS,-29.3785943,-51.3123751,401,13177.78508
D1,Alto Feliz/RS,-29.3785943,-51.3123751,2,65.72461
1,Alto Garças/MT,-16.9469683,-53.529427,1249,10135.51895
D1,Alto Garças/MT,-16.9469683,-53.529427,42,340.82610
1,Alto Horizonte/GO,-14.1954948,-49.3366993,1287,18937.61036
D1,Alto Horizonte/GO,-14.1954948,-49.3366993,14,206.00353
1,Alto Jequitibá/MG,-20.423611,-41.966111,1024,12358.19455
D1,Alto Jequitibá/MG,-20.423611,-41.966111,13,156.89114
1,Alto Longá/PI,-5.2549051,-42.2072388,746,5191.00967
D1,Alto Longá/PI,-5.2549051,-42.2072388,15,104.37687
1,Alto Paraguai/MT,-14.513712,-56.4936374,938,8095.27919
D1,Alto Paraguai/MT,-14.513712,-56.4936374,29,250.28049
1,Alto Paraná/PR,-23.131247,-52.318893,1586,10612.24490
D1,Alto Paraná/PR,-23.131247,-52.318893,26,173.97123
1,Alto Paraíso de Goiás/GO,-14.1304779,-47.5100161,1083,13972.39066
D1,Alto Paraíso de Goiás/GO,-14.1304779,-47.5100161,9,116.11405
1,Alto Paraíso/PR,-23.508137,-53.728537,442,16806.08365
D1,Alto Paraíso/PR,-23.508137,-53.728537,9,342.20532
1,Alto Paraíso/RO,-9.7240103,-63.3188123,2444,10980.32168
D1,Alto Paraíso/RO,-9.7240103,-63.3188123,59,265.07323
1,Alto Parnaíba/MA,-9.112506,-45.9310154,1021,9089.29048
D1,Alto Parnaíba/MA,-9.112506,-45.9310154,11,97.92575
1,Alto Piquiri/PR,-24.0239021,-53.4417448,1368,14071.17877
D1,Alto Piquiri/PR,-24.0239021,-53.4417448,29,298.29253
1,Alto Rio Doce/MG,-21.0239537,-43.4133507,707,6593.30411
D1,Alto Rio Doce/MG,-21.0239537,-43.4133507,29,270.44670
1,Alto Rio Novo/ES,-19.0577208,-41.0171518,893,11288.07989
D1,Alto Rio Novo/ES,-19.0577208,-41.0171518,28,353.93756
1,Alto Santo/CE,-5.5190371,-38.2719351,2087,12981.27760
D1,Alto Santo/CE,-5.5190371,-38.2719351,36,223.92237
1,Alto Taquari/MT,-17.8269099,-53.2831736,1660,14544.81731
D1,Alto Taquari/MT,-17.8269099,-53.2831736,29,254.09621
1,Alto do Rodrigues/RN,-5.290868,-36.7616726,2697,18072.77357
D1,Alto do Rodrigues/RN,-5.290868,-36.7616726,40,268.04262
1,Altos/PI,-5.0393915,-42.4611694,5097,12529.19053
D1,Altos/PI,-5.0393915,-42.4611694,101,248.27315
1,Altônia/PR,-23.8722004,-53.894037,2261,10142.19710
D1,Altônia/PR,-23.8722004,-53.894037,50,224.28565
1,Alumínio/SP,-23.5203479,-47.2575256,1636,8654.71089
D1,Alumínio/SP,-23.5203479,-47.2575256,53,280.37878
1,Alvarenga/MG,-19.4175,-41.728334,541,14300.81946
D1,Alvarenga/MG,-19.4175,-41.728334,6,158.60428
1,Alvarães/AM,-3.214786,-64.8143124,3053,18620.39522
D1,Alvarães/AM,-3.214786,-64.8143124,46,280.55623
1,Alvinlândia/SP,-22.4431852,-49.7643596,145,4460.16610
D1,Alvinlândia/SP,-22.4431852,-49.7643596,9,276.83790
1,Alvinópolis/MG,-20.1105199,-43.0601805,998,6593.98745
D1,Alvinópolis/MG,-20.1105199,-43.0601805,23,151.96564
1,Alvorada D'Oeste/RO,-11.346271,-62.284697,1457,10552.61824
D1,Alvorada D'Oeste/RO,-11.346271,-62.284697,31,224.52379
1,Alvorada de Minas/MG,-18.7318587,-43.3641479,319,8848.82108
D1,Alvorada de Minas/MG,-18.7318587,-43.3641479,3,83.21775
1,Alvorada do Gurguéia/PI,-8.4465288,-43.8655915,453,8283.04992
D1,Alvorada do Gurguéia/PI,-8.4465288,-43.8655915,12,219.41854
1,Alvorada do Norte/GO,-14.483911,-46.4959897,959,10961.25271
D1,Alvorada do Norte/GO,-14.483911,-46.4959897,17,194.30792
1,Alvorada do Sul/PR,-22.7807269,-51.2307721,943,8130.71219
D1,Alvorada do Sul/PR,-22.7807269,-51.2307721,29,250.04311
1,Alvorada/RS,-29.9981184,-51.0772509,24116,11356.61543
D1,Alvorada/RS,-29.9981184,-51.0772509,828,389.91863
1,Alvorada/TO,-12.478465,-49.124926,1777,21202.72044
D1,Alvorada/TO,-12.478465,-49.124926,30,357.95251
1,Além Paraíba/MG,-21.8760576,-42.6810473,3945,11132.11807
D1,Além Paraíba/MG,-21.8760576,-42.6810473,163,459.95824
1,Amajari/RR,3.6523869,-61.4194315,1202,8863.65312
D1,Amajari/RR,3.6523869,-61.4194315,25,184.35219
1,Amambai/MS,-23.1082701,-55.2284854,3779,9389.51972
D1,Amambai/MS,-23.1082701,-55.2284854,86,213.68052
1,Amaporã/PR,-23.094272,-52.786597,518,8087.43169
D1,Amaporã/PR,-23.094272,-52.786597,8,124.90242
1,Amapá do Maranhão/MA,-1.6762114,-46.0109669,172,2440.75493
D1,Amapá do Maranhão/MA,-1.6762114,-46.0109669,6,85.14261
1,Amapá/AP,2.0529997,-50.7930003,1437,15509.98381
D1,Amapá/AP,2.0529997,-50.7930003,13,140.31301
1,Amaraji/PE,-8.373925,-35.4536527,710,3099.08337
D1,Amaraji/PE,-8.373925,-35.4536527,48,209.51550
1,Amaral Ferrador/RS,-30.8750633,-52.2542051,326,4568.38565
D1,Amaral Ferrador/RS,-30.8750633,-52.2542051,11,154.14798
1,Amaralina/GO,-13.9236199,-49.2962411,147,3793.54839
