country,state,city,ibgeID,deaths,totalCases,deaths_per_100k_inhabitants,totalCases_per_100k_inhabitants,deaths_by_totalCases,_source,date,newCases,newDeaths,last_info_date
Brazil,AP,Amapá/AP,1600105,13,1876,140.31301,20248.24609,0.00693,MS,2022-06-03,0,0,2022-06-03
Brazil,PE,Amaraji/PE,2600906,49,1214,213.88040,5298.99607,0.04036,MS,2022-06-03,0,0,2022-06-03
Brazil,RS,Amaral Ferrador/RS,4300638,14,549,196.18834,7693.38565,0.02550,MS,2022-06-03,0,0,2022-06-03
Brazil,GO,Amaralina/GO,5200829,2,235,51.61290,6064.51613,0.00851,MS,2022-06-03,0,0,2022-06-03
Brazil,MA,Amarante do Maranhão/MA,2100600,63,2184,149.93931,5197.89609,0.02885,MS,2022-06-03,0,-1,2022-06-03
Brazil,PI,Amarante/PI,2200509,36,1737,204.44091,9864.27395,0.02073,MS,2022-06-03,0,0,2022-06-03
Brazil,BA,Amargosa/BA,2901007,62,4605,164.75778,12237.25120,0.01346,MS,2022-06-03,0,0,2022-06-03
Brazil,AM,Amaturá/AM,1300060,19,2624,159.20898,21987.59846,0.00724,MS,2022-06-03,0,0,2022-06-03
Brazil,SP,Americana/SP,3501608,955,27965,390.80083,11443.71240,0.03415,MS,2022-06-03,0,0,2022-06-03
Brazil,GO,Americano do Brasil/GO,5200852,26,1609,418.00643,25868.16720,0.01616,MS,2022-06-03,28,0,2022-06-03
Brazil,RS,Ametista do Sul/RS,4300646,28,1753,378.58302,23702.00108,0.01597,MS,2022-06-03,0,0,2022-06-03
Brazil,CE,Amontada/CE,2300754,62,3561,140.28736,8057.47256,0.01741,MS,2022-06-03,0,0,2022-06-03
Brazil,GO,Amorinópolis/GO,5200902,13,610,431.75025,20259.05015,0.02131,MS,2022-06-03,1,0,2022-06-03
Brazil,SE,Amparo de São Francisco/SE,2800100,5,258,209.55574,10813.07628,0.01938,MS,2022-06-03,0,0,2022-06-03
Brazil,MG,Amparo do Serra/MG,3102506,11,293,236.91579,6310.57506,0.03754,MS,2022-06-03,0,0,2022-06-03
Brazil,PB,Amparo/PB,2500734,4,283,176.67845,12500.00000,0.01413,MS,2022-06-03,0,0,2022-06-03
Brazil,SP,Amparo/SP,3501905,249,10001,340.41971,13672.84162,0.02490,MS,2022-06-03,0,0,2022-06-03
Brazil,PR,Ampére/PR,4101002,68,5414,349.32703,27812.59632,0.01256,MS,2022-06-03,22,0,2022-06-03
Brazil,BA,Amélia Rodrigues/BA,2901106,53,2813,212.02544,11253.35040,0.01884,MS,2022-06-03,0,0,2022-06-03
Brazil,BA,América Dourada/BA,2901155,14,1073,87.03220,6670.39662,0.01305,MS,2022-06-03,0,0,2022-06-03
Brazil,SP,Américo Brasiliense/SP,3501707,107,5873,257.55205,14136.47852,0.01822,MS,2022-06-03,0,0,2022-06-03
Brazil,SP,Américo de Campos/SP,3501806,38,1288,634.07309,21491.74036,0.02950,MS,2022-06-03,0,0,2022-06-03
Brazil,AL,Anadia/AL,2700201,37,1698,211.34403,9698.97755,0.02179,MS,2022-06-03,0,0,2022-06-03
Brazil,BA,Anagé/BA,2901205,31,1217,146.02666,5732.72410,0.02547,MS,2022-06-03,0,0,2022-06-03
Brazil,PR,Anahy/PR,4101051,15,728,540.73540,26243.69142,0.02060,MS,2022-06-03,4,0,2022-06-03
Brazil,MA,Anajatuba/MA,2100709,29,1615,106.73537,5944.05594,0.01796,MS,2022-06-03,0,0,2022-06-03
Brazil,PA,Anajás/PA,1500701,23,1386,76.43481,4606.02838,0.01659,MS,2022-06-03,0,0,2022-06-03
Brazil,SP,Analândia/SP,3502002,5,528,97.75171,10322.58065,0.00947,MS,2022-06-03,0,0,2022-06-03
Brazil,AM,Anamã/AM,1300086,11,2477,76.96613,17331.37420,0.00444,MS,2022-06-03,0,0,2022-06-03
Brazil,PA,Ananindeua/PA,1500800,861,30266,159.32348,5600.56254,0.02845,MS,2022-06-03,8,0,2022-06-03
Brazil,TO,Ananás/TO,1701002,28,2246,296.76736,23804.98145,0.01247,MS,2022-06-03,0,0,2022-06-03
Brazil,PA,Anapu/PA,1500859,69,2416,235.39847,8242.35808,0.02856,MS,2022-06-03,0,0,2022-06-03
Brazil,MA,Anapurus/MA,2100808,15,832,93.43466,5182.50903,0.01803,MS,2022-06-03,0,0,2022-06-03
Brazil,MS,Anastácio/MS,5000708,92,3210,363.11967,12669.71898,0.02866,MS,2022-06-03,2,0,2022-06-03
Brazil,MS,Anaurilândia/MS,5000807,16,1136,175.51558,12461.60597,0.01408,MS,2022-06-03,1,0,2022-06-03
Brazil,ES,Anchieta/ES,3200409,113,9465,373.12201,31253.09559,0.01194,MS,2022-06-03,15,0,2022-06-03
Brazil,SC,Anchieta/SC,4200804,12,1143,219.09805,20869.08892,0.01050,MS,2022-06-03,0,0,2022-06-03
Brazil,BA,Andaraí/BA,2901304,14,1269,106.69105,9670.78189,0.01103,MS,2022-06-03,0,0,2022-06-03
Brazil,PR,Andirá/PR,4101101,98,5407,494.37522,27276.39611,0.01812,MS,2022-06-03,11,0,2022-06-03
Brazil,BA,Andorinha/BA,2901353,19,1330,131.79800,9225.86016,0.01429,MS,2022-06-03,0,0,2022-06-03
Brazil,MG,Andradas/MG,3102605,137,6847,328.50566,16418.08939,0.02001,MS,2022-06-03,29,0,2022-06-03
Brazil,SP,Andradina/SP,3502101,309,11607,539.78513,20276.00664,0.02662,MS,2022-06-03,0,0,2022-06-03
Brazil,MG,Andrelândia/MG,3102803,18,206,147.67413,1690.04840,0.08738,MS,2022-06-03,0,0,2022-06-03
Brazil,RS,André da Rocha/RS,4300661,1,205,74.01925,15173.94523,0.00488,MS,2022-06-03,0,0,2022-06-03
Brazil,SP,Angatuba/SP,3502200,87,3852,338.20557,14974.34303,0.02259,MS,2022-06-03,0,0,2022-06-03
Brazil,PE,Angelim/PE,2601003,15,281,132.73162,2486.50562,0.05338,MS,2022-06-03,0,0,2022-06-03
Brazil,SC,Angelina/SC,4200903,6,918,128.04097,19590.26889,0.00654,MS,2022-06-03,3,0,2022-06-03
Brazil,MG,Angelândia/MG,3102852,4,407,46.54410,4735.86223,0.00983,MS,2022-06-03,0,0,2022-06-03
Brazil,PI,Angical do Piauí/PI,2200608,12,901,177.01726,13291.04588,0.01332,MS,2022-06-03,0,0,2022-06-03
Brazil,BA,Angical/BA,2901403,21,1065,151.05740,7660.76823,0.01972,MS,2022-06-03,0,0,2022-06-03
Brazil,TO,Angico/TO,1701051,5,252,143.88489,7251.79856,0.01984,MS,2022-06-03,0,0,2022-06-03
Brazil,RN,Angicos/RN,2400802,30,1263,256.51988,10799.48696,0.02375,MS,2022-06-03,0,0,2022-06-03
Brazil,RJ,Angra dos Reis/RJ,3300100,605,22608,287.86084,10756.95505,0.02676,MS,2022-06-03,3,0,2022-06-03
Brazil,BA,Anguera/BA,2901502,2,641,17.59170,5638.13880,0.00312,MS,2022-06-03,0,0,2022-06-03
Brazil,MS,Angélica/MS,5000856,22,2099,198.53804,18942.33372,0.01048,MS,2022-06-03,6,0,2022-06-03
Brazil,GO,Anhanguera/GO,5201207,7,212,597.77968,18104.18446,0.03302,MS,2022-06-03,6,0,2022-06-03
Brazil,SP,Anhembi/SP,3502309,14,444,202.57560,6424.54059,0.03153,MS,2022-06-03,0,0,2022-06-03
Brazil,SP,Anhumas/SP,3502408,9,404,215.72387,9683.60499,0.02228,MS,2022-06-03,0,0,2022-06-03
Brazil,GO,Anicuns/GO,5201306,80,6578,361.77814,29747.20752,0.01216,MS,2022-06-03,36,0,2022-06-03
Brazil,SC,Anita Garibaldi/SC,4201000,12,1965,176.91287,28969.48253,0.00611,MS,2022-06-03,3,0,2022-06-03
