date,country,state,city,newDeaths,deaths,newCases,totalCases,deathsMS,totalCasesMS
2020-03-18,Brazil,RS,TOTAL,0,0,9,19,0,19
2020-03-18,Brazil,SC,TOTAL,0,0,7,14,0,10
2020-03-18,Brazil,SE,TOTAL,0,0,1,6,0,5
2020-03-18,Brazil,SP,TOTAL,3,4,77,241,4,240
2020-03-18,Brazil,TO,TOTAL,0,0,1,1,0,0
2020-03-18,Brazil,TOTAL,TOTAL,3,4,181,514,4,428
2020-03-19,Brazil,AC,TOTAL,0,0,1,4,0,3
2020-03-19,Brazil,AL,TOTAL,0,0,3,4,0,4
2020-03-19,Brazil,AM,TOTAL,0,0,1,3,0,3
2020-03-19,Brazil,BA,TOTAL,0,0,4,31,0,30
2020-03-19,Brazil,CE,TOTAL,0,0,1,20,0,20
2020-03-19,Brazil,DF,TOTAL,0,0,8,42,0,42
2020-03-19,Brazil,ES,TOTAL,0,0,4,13,0,11
2020-03-19,Brazil,GO,TOTAL,0,0,3,15,0,12
2020-03-19,Brazil,MG,TOTAL,0,0,10,29,0,29
2020-03-19,Brazil,MS,TOTAL,0,0,2,9,0,7
2020-03-19,Brazil,PA,TOTAL,0,0,0,1,0,1
2020-03-19,Brazil,PB,TOTAL,0,0,0,1,0,1
2020-03-19,Brazil,PE,TOTAL,0,0,9,28,0,28
2020-03-19,Brazil,PI,TOTAL,0,0,3,3,0,0
2020-03-19,Brazil,PR,TOTAL,0,0,9,24,0,23
2020-03-19,Brazil,RJ,TOTAL,2,2,3,66,2,65
2020-03-19,Brazil,RN,TOTAL,0,0,0,1,0,1
2020-03-19,Brazil,RS,TOTAL,0,0,12,31,0,28
2020-03-19,Brazil,SC,TOTAL,0,0,7,21,0,20
2020-03-19,Brazil,SE,TOTAL,0,0,0,6,0,6
2020-03-19,Brazil,SP,TOTAL,1,5,45,286,4,286
2020-03-19,Brazil,TO,TOTAL,0,0,0,1,0,1
2020-03-19,Brazil,TOTAL,TOTAL,3,7,125,639,6,621
2020-03-20,Brazil,AC,TOTAL,0,0,3,7,0,7
2020-03-20,Brazil,AL,TOTAL,0,0,2,6,0,5
2020-03-20,Brazil,AM,TOTAL,0,0,4,7,0,3
2020-03-20,Brazil,AP,TOTAL,0,0,1,1,0,1
2020-03-20,Brazil,BA,TOTAL,0,0,3,34,0,33
2020-03-20,Brazil,CE,TOTAL,0,0,48,68,0,55
2020-03-20,Brazil,DF,TOTAL,0,0,45,87,0,87
2020-03-20,Brazil,ES,TOTAL,0,0,3,16,0,13
2020-03-20,Brazil,GO,TOTAL,0,0,3,18,0,15
2020-03-20,Brazil,MA,TOTAL,0,0,1,1,0,0
2020-03-20,Brazil,MG,TOTAL,0,0,9,38,0,35
2020-03-20,Brazil,MS,TOTAL,0,0,3,12,0,9
2020-03-20,Brazil,MT,TOTAL,0,0,1,1,0,1
2020-03-20,Brazil,PA,TOTAL,0,0,1,2,0,2
2020-03-20,Brazil,PB,TOTAL,0,0,0,1,0,1
2020-03-20,Brazil,PE,TOTAL,0,0,2,30,0,30
2020-03-20,Brazil,PI,TOTAL,0,0,1,4,0,3
2020-03-20,Brazil,PR,TOTAL,0,0,13,37,0,32
2020-03-20,Brazil,RJ,TOTAL,0,2,43,109,2,109
2020-03-20,Brazil,RN,TOTAL,0,0,5,6,0,1
2020-03-20,Brazil,RO,TOTAL,0,0,1,1,0,1
2020-03-20,Brazil,RS,TOTAL,0,0,12,43,0,37
2020-03-20,Brazil,SC,TOTAL,0,0,18,39,0,21
2020-03-20,Brazil,SE,TOTAL,0,0,1,7,0,6
2020-03-20,Brazil,SP,TOTAL,4,9,110,396,9,396
